5 Minutes,Lane 1 Flow (Veh/5 Minutes),Occ,Speed,402555
05/02/2016 00:00,46,0.0081,68.2,100
05/02/2016 00:05,55,0.0109,66.2,100
05/02/2016 00:10,57,0.0107,67.3,100
05/02/2016 00:15,41,0.0074,67.2,100
05/02/2016 00:20,38,0.0077,66.6,100
05/02/2016 00:25,51,0.0093,67.4,100
05/02/2016 00:30,36,0.0059,67.8,100
05/02/2016 00:35,31,0.0056,67.4,100
05/02/2016 00:40,45,0.0084,67.4,100
05/02/2016 00:45,36,0.0065,68.1,100
05/02/2016 00:50,30,0.0053,67.4,100
05/02/2016 00:55,23,0.0051,67,100
05/02/2016 01:00,21,0.0037,66.6,100
05/02/2016 01:05,13,0.0024,67.9,100
05/02/2016 01:10,19,0.0035,67.7,100
05/02/2016 01:15,21,0.0038,68.2,100
05/02/2016 01:20,6,0.0011,68,100
05/02/2016 01:25,17,0.0033,66.8,100
05/02/2016 01:30,17,0.0029,68.2,100
05/02/2016 01:35,15,0.0029,67.7,100
05/02/2016 01:40,12,0.0035,66.3,100
05/02/2016 01:45,14,0.003,66.7,100
05/02/2016 01:50,19,0.0037,67.1,100
05/02/2016 01:55,20,0.0035,67,100
05/02/2016 02:00,13,0.002,67.6,100
05/02/2016 02:05,12,0.0022,68.1,100
05/02/2016 02:10,14,0.0026,68.2,100
05/02/2016 02:15,15,0.0033,66.3,100
05/02/2016 02:20,10,0.0018,66.8,100
05/02/2016 02:25,15,0.0026,67.5,100
05/02/2016 02:30,6,0.0011,67.4,100
05/02/2016 02:35,11,0.002,66.8,100
05/02/2016 02:40,16,0.0032,67.8,100
05/02/2016 02:45,10,0.0015,66.6,100
05/02/2016 02:50,10,0.002,67,100
05/02/2016 02:55,6,0.0012,67.3,100
05/02/2016 03:00,8,0.0015,67.6,100
05/02/2016 03:05,13,0.0023,67.4,100
05/02/2016 03:10,8,0.0021,64.9,100
05/02/2016 03:15,6,0.0011,68.1,100
05/02/2016 03:20,6,0.0012,64.9,100
05/02/2016 03:25,3,0.0025,63,100
05/02/2016 03:30,10,0.0026,66,100
05/02/2016 03:35,7,0.0014,66.4,100
05/02/2016 03:40,11,0.0019,67.7,100
05/02/2016 03:45,9,0.0023,67,100
05/02/2016 03:50,13,0.0028,68.3,100
05/02/2016 03:55,16,0.0029,66.5,100
05/02/2016 04:00,4,0.0008,69.1,100
05/02/2016 04:05,7,0.0012,66.7,100
